time_s,time_ms,gyro_x_deg_s,gyro_y_deg_s,gyro_z_deg_s,accel_x_g,accel_y_g,accel_z_g,X_GYRO_LWR_raw,Y_GYRO_LWR_raw,Z_GYRO_LWR_raw,X_ACCL_LWR_raw,Y_ACCL_LWR_raw,Z_ACCL_LWR_raw
0.119021,119.020560,-0.184102,-0.036470,-0.196846,0.066256,-0.948929,-0.309362,-120653,-23901,-129005,3473698,-49751204,-16219480
0.120001,120.000960,-0.085957,-0.038115,-0.051384,0.066254,-0.948055,-0.306383,-56333,-24979,-33675,3473622,-49705410,-16063286
0.120981,120.981360,-0.038106,0.212007,-0.003020,0.065869,-0.949844,-0.311672,-24973,138941,-1979,3453415,-49799159,-16340597
0.122011,122.010780,0.059657,0.011888,-0.003656,0.064661,-0.949254,-0.307004,39097,7791,-2396,3390118,-49768268,-16095874
0.122991,122.991180,0.156808,-0.037865,-0.004300,0.067147,-0.950439,-0.306570,102766,-24815,-2818,3520418,-49830370,-16073079
0.123972,123.971580,0.059843,0.160913,0.093741,0.067455,-0.947419,-0.308183,39219,105456,61434,3536563,-49672032,-16157651
0.125001,125.001000,-0.232964,-0.135558,-0.293921,0.065765,-0.949870,-0.307430,-152675,-88839,-192624,3447987,-49800546,-16118185
0.125981,125.981400,0.012799,-0.190123,0.094084,0.061140,-0.947266,-0.309597,8388,-124599,61659,3205497,-49663998,-16231792
0.127011,127.010820,0.013986,-0.092561,0.288892,0.067005,-0.949114,-0.308634,9166,-60661,189328,3512976,-49760885,-16181336
0.127991,127.991220,-0.183128,0.210783,0.046654,0.064248,-0.947492,-0.306336,-120015,138139,30575,3368436,-49675868,-16060805
0.128972,128.971620,-0.036880,-0.088722,-0.003001,0.067792,-0.945999,-0.306962,-24170,-58145,-1967,3554238,-49597571,-16093659
0.130001,130.001040,0.206479,-0.039693,0.141484,0.065780,-0.947786,-0.306132,135318,-26013,92723,3448786,-49691304,-16050113
0.130981,130.981440,0.304420,0.008784,0.286945,0.067726,-0.950201,-0.307933,199505,5757,188052,3550795,-49817921,-16144579
0.132011,132.010860,0.010161,0.262315,-0.003522,0.065940,-0.948259,-0.307247,6659,171911,-2308,3457140,-49716084,-16108599
0.132991,132.991260,-0.133032,-0.090431,0.094878,0.067277,-0.948674,-0.307290,-87184,-59265,62179,3527260,-49737861,-16110857
0.133972,133.971660,0.206256,-0.187370,-0.053499,0.065746,-0.945357,-0.307015,135172,-122795,-35061,3446972,-49563922,-16096434
0.135001,135.001080,-0.132477,-0.040306,0.094868,0.065254,-0.946857,-0.307950,-86820,-26415,62173,3421163,-49642565,-16145451
0.135981,135.981480,-0.182156,0.061095,-0.002220,0.065762,-0.946494,-0.307150,-119378,40039,-1455,3447816,-49623534,-16103518
0.137011,137.010900,-0.279289,-0.088297,-0.098970,0.070578,-0.949380,-0.307713,-183035,-57866,-64861,3700308,-49774833,-16133029
0.137991,137.991300,0.058812,0.114149,-0.149951,0.065677,-0.951710,-0.305921,38543,74809,-98272,3443383,-49897007,-16039086
0.138972,138.971700,-0.084206,0.009999,0.094540,0.066020,-0.950522,-0.304082,-55185,6553,61958,3461366,-49834747,-15942665
0.140001,140.001120,0.301384,0.064948,-0.151567,0.063584,-0.950441,-0.306117,197515,42564,-99331,3333609,-49830496,-16049350
0.140982,140.981520,0.010745,0.013722,-0.149622,0.064635,-0.951151,-0.311032,7042,8993,-98056,3388730,-49867705,-16307020
0.142011,142.010940,0.012155,-0.137985,-0.052206,0.066632,-0.949098,-0.302880,7966,-90430,-34214,3493459,-49760081,-15879628
0.142991,142.991340,-0.133868,-0.087744,-0.099940,0.065534,-0.947245,-0.307884,-87732,-57504,-65497,3435865,-49662919,-16141972
0.143972,143.971740,0.061020,-0.038899,0.044870,0.066728,-0.948802,-0.308294,39990,-25493,29406,3498470,-49744533,-16163469
0.145001,145.001160,0.111304,-0.191092,0.190665,0.069233,-0.953902,-0.305345,72944,-125234,124954,3629825,-50011923,-16008854
0.145982,145.981560,-0.084819,0.160365,0.094533,0.067094,-0.946994,-0.308898,-55587,105097,61953,3517672,-49649760,-16195139
0.147011,147.010980,-0.036522,-0.088048,-0.051884,0.066084,-0.949980,-0.306338,-23935,-57703,-34003,3464689,-49806327,-16060909
0.147991,147.991380,0.110283,0.059517,0.190651,0.065976,-0.950528,-0.305474,72275,39005,124945,3459047,-49835049,-16015623
0.148972,148.971780,-0.084605,0.010669,0.045839,0.065688,-0.950069,-0.307840,-55447,6992,30041,3443955,-49810956,-16139681
0.150001,150.001200,0.110097,-0.089508,0.093253,0.066279,-0.950893,-0.310221,72153,-58660,61114,3474933,-49854193,-16264523
0.150982,150.981600,0.157957,0.061041,0.092920,0.068252,-0.953638,-0.304908,103519,40004,60896,3578365,-49998077,-15985951
0.152011,152.011020,-0.083203,-0.041463,0.191951,0.066946,-0.953707,-0.309308,-54528,-27173,125797,3509885,-50001739,-16216658
0.152991,152.991420,0.158162,0.010921,0.092923,0.069040,-0.951118,-0.305340,103653,7157,60898,3619703,-49865974,-16008636
0.153972,153.971820,0.061011,0.060674,0.093568,0.067178,-0.950606,-0.309736,39984,39763,61321,3522064,-49839132,-16239097
0.155001,155.001240,0.013364,-0.239571,0.045204,0.066692,-0.951543,-0.306351,8758,-157005,29625,3496573,-49888235,-16061640
0.155982,155.981640,0.012117,0.260304,0.142584,0.067767,-0.950518,-0.309138,7941,170593,93444,3552919,-49834534,-16207713
0.157011,157.011060,0.206023,0.161340,0.092592,0.066510,-0.950258,-0.308826,135019,105736,60681,3487061,-49820886,-16191372
0.157991,157.991460,0.205052,-0.086043,-0.150911,0.066110,-0.951942,-0.306163,134383,-56389,-98901,3466068,-49909151,-16051782
0.158972,158.971860,-0.039136,0.164987,-0.246712,0.064618,-0.948584,-0.305967,-25648,108126,-161685,3387833,-49733110,-16041463
0.160001,160.001280,-0.134479,0.062363,-0.099950,0.068539,-0.948651,-0.305308,-88132,40870,-65503,3593407,-49736645,-16006935
0.160982,160.981680,-0.036111,-0.188548,-0.051880,0.064424,-0.948902,-0.306487,-23666,-123567,-34000,3377692,-49749785,-16068732
0.162011,162.011100,0.203864,-0.084702,-0.248314,0.066010,-0.944371,-0.306845,133604,-55510,-162735,3460800,-49512229,-16087526
0.162992,162.991500,-0.182535,-0.038736,-0.050916,0.066611,-0.950830,-0.304324,-119626,-25386,-33368,3492358,-49850872,-15955362
0.163972,163.971900,-0.037737,0.211752,-0.003197,0.064010,-0.947340,-0.307179,-24731,138774,-2095,3355962,-49667877,-16105014
0.165001,165.001320,-0.135083,0.212054,-0.051253,0.066588,-0.946918,-0.307827,-88528,138972,-33589,3491137,-49645755,-16139026
0.165982,165.981720,-0.036919,0.011266,-0.003185,0.067765,-0.949884,-0.307348,-24195,7383,-2087,3552823,-49801273,-16113910
0.167011,167.011140,-0.085588,-0.038368,-0.051562,0.066099,-0.949011,-0.309760,-56091,-25145,-33792,3465480,-49755496,-16240339
0.167992,167.991540,0.059628,0.012305,-0.052536,0.068071,-0.950047,-0.309801,39078,8064,-34430,3568871,-49809800,-16242499
0.168972,168.971940,-0.181746,0.059494,0.095189,0.067926,-0.953734,-0.308788,-119109,38990,62383,3561297,-50003111,-16189367
0.170001,170.001360,-0.086403,0.162119,-0.051575,0.064611,-0.949266,-0.310209,-56625,106246,-33800,3387494,-49768891,-16263876
0.170982,170.981760,-0.183344,0.062177,-0.099625,0.066942,-0.946792,-0.306439,-120156,40748,-65290,3509682,-49639178,-16066227
0.172011,172.011180,-0.134451,-0.137454,-0.148639,0.065747,-0.946152,-0.309998,-88114,-90082,-97412,3447016,-49605590,-16252804
0.172992,172.991580,-0.182526,-0.138309,-0.099612,0.067252,-0.949576,-0.306754,-119620,-90642,-65282,3525917,-49785109,-16082753
0.173972,173.971980,-0.134247,-0.187575,-0.148636,0.067139,-0.947345,-0.308226,-87980,-122929,-97410,3520032,-49668167,-16159896
0.175001,175.001400,-0.038924,0.114192,-0.198004,0.067728,-0.943598,-0.304766,-25509,74837,-129764,3550913,-49471736,-15978491
0.175982,175.981800,0.108696,0.061269,0.044543,0.064622,-0.943290,-0.306799,71235,40153,29192,3388077,-49455571,-16085127
0.177011,177.011220,0.060204,0.260231,0.142262,0.065440,-0.945193,-0.303855,39455,170545,93233,3430962,-49555345,-15930753
0.177992,177.991620,-0.038321,0.063400,-0.149298,0.065057,-0.946780,-0.307678,-25114,41550,-97844,3410864,-49638549,-16131179
0.178972,178.972020,-0.329376,0.211989,-0.098660,0.067139,-0.947067,-0.307272,-215860,138929,-64658,3520001,-49653596,-16109915
0.180001,180.001440,-0.181969,0.308762,0.192581,0.068549,-0.950191,-0.307825,-119255,202350,126210,3593946,-49817376,-16138870
0.180982,180.981840,-0.037717,0.012607,-0.100592,0.066977,-0.952680,-0.307122,-24718,8262,-65924,3511548,-49947883,-16102049
0.182011,182.011260,0.063423,-0.043852,0.385794,0.065034,-0.954638,-0.310407,41565,-28739,252834,3409630,-50050516,-16274281
0.182992,182.991660,0.060233,-0.038486,-0.003830,0.065355,-0.954546,-0.307912,39474,-25222,-2510,3426466,-50045725,-16143452
0.183972,183.972060,-0.232243,0.361382,-0.001910,0.064943,-0.956480,-0.309644,-152203,236835,-1252,3404903,-50147100,-16234238
