X_GYRO_LWR,Y_GYRO_LWR,Z_GYRO_LWR,X_ACCL_LWR,Y_ACCL_LWR,Z_ACCL_LWR,DATA_CNTR,TIME_STAMP_LWR,USB_TIMESTAMP_MS
74708,70304,30102,4038305,-49531914,-17188235,11686,10731,361.5137
43737,-61647,62239,3920877,-49502458,-17176164,11687,10751,361.5137
202698,36621,125008,3857601,-49371515,-17158103,11688,10771,361.5137
-83469,-29282,63085,4023423,-49520113,-17295989,11689,10792,361.5137
-83610,68822,94997,4023944,-49244420,-17289906,11690,10812,361.5137
74976,4608,30106,3906789,-49252210,-17344728,11691,10833,361.5137
42839,-223250,-129256,4092240,-49447337,-17313120,11692,10853,361.5137
-83992,-28403,-750,3907747,-49292904,-17193609,11693,10873,361.5137
-85037,-26646,-128420,4004164,-49346050,-17448448,11694,10894,361.5137
-116028,37171,-542,4074060,-49163754,-17327129,11695,10914,361.5137
105558,104590,-65865,4045636,-49334700,-17280037,11696,10935,361.5137
138244,70546,29677,4109295,-49506945,-17346389,11697,10955,361.5137
-52351,-60690,-32877,3976976,-49613696,-17408974,11698,10975,378.5145
234728,36302,156713,3759077,-49358065,-17060449,11699,10996,378.5145
11193,-125706,-65156,3800031,-49205522,-17113943,11700,11016,378.5145
108065,-127981,125771,3728627,-49395610,-17092307,11701,11037,378.5145
74450,70388,-1699,3858598,-49412169,-16983836,11702,11057,378.5145
12226,2694,126400,3837730,-49433623,-17172986,11703,11077,378.5145
-83856,-61606,-630,3796355,-49282273,-17287190,11704,11098,378.5145
10806,-158030,-128931,3895494,-49470178,-17243623,11705,11118,378.5145
11550,232189,158303,3977583,-49150291,-17242566,11706,11139,378.5145
43357,-159227,-33390,3835440,-49392186,-17077013,11707,11159,378.5145
75763,2935,125975,3926516,-49331988,-17257998,11708,11179,378.5145
44395,-95728,126193,3728343,-49412580,-17272958,11709,11200,378.5145
-52609,-60607,-64678,4001660,-49231844,-17139909,11710,11220,378.5145
74041,234187,30209,3796147,-49232431,-17176564,11711,11241,378.5145
105708,-59125,-129573,3911152,-49604171,-17417576,11712,11261,378.5145
172112,1540,253009,4080626,-49315404,-17196572,11713,11281,378.5145
107670,-95048,93852,3858352,-49595857,-17195938,11714,11302,378.5145
74718,5573,-65534,3770692,-49344050,-17242642,11715,11322,395.5165
44115,101360,126178,3872328,-49421000,-17234772,11716,11343,395.5165
75789,-257209,-65518,3842326,-49497694,-17281815,11717,11363,395.5165
107136,37223,30005,3803238,-49362754,-17390354,11718,11383,395.5165
107652,101602,125754,3895726,-49344865,-17300301,11719,11404,395.5165
-51571,3772,31067,3897015,-49258063,-17184984,11720,11424,395.5165
11717,-126059,-65102,3971644,-49350260,-17347554,11721,11445,395.5165
